index,Project ID,Contractor ID,Project County,Project City,Project ZIP,Climate Zone,Weather Station,Weather Station-Normalization,Project Completion Date,Customer Type,Size of Home,Volume of Home,Number of Units,Year Home Built,Total Project Cost ($),Contractor Incentive ($),Total Incentives ($),Amount Financed Through Program ($),Estimated Annual Electric Savings (kWh),Estimated Annual Gas Savings (MMBtu),Estimated First Year Energy Bill Savings ($),Baseline Electric (kWh),Baseline Gas (MMBtu),Reporting Electric (kWh),Reporting Gas (MMBtu),Evaluated Annual Electric Savings (kWh),Evaluated Annual Gas Savings (MMBtu),Central Hudson,Consolidated Edison,LIPA,National Grid,National Fuel Gas,NYSEG,Orange and Rockland,Rochester Gas and Electric,Location 1
10,P00000640079,CY0000000675,Rensselaer,Wynantskill,12198,5|A|Cold,725180,725180,11/16/2007,Market,4038.0,37897.0,1.0,1840.0,7880.0,394.0,788.0,0.0,,,2942.53,8648.4,216.08,6763.84,228.16,1884.55,-12.08,False,False,False,True,False,False,False,False,"Wynantskill, NY 12198
(42.680971, -73.634804)"
11,P00000640259,CY0000000014,Onondaga,Manlius,13104,5|A|Cold,725190,725190,01/09/2008,Market,3300.0,28050.0,1.0,1980.0,5739.0,286.95,573.9,0.0,,,102.94,8592.69,66.44,5053.54,84.13,3539.14,-17.69,False,False,False,True,False,False,False,False,"Manlius, NY 13104
(42.979204, -75.962381)"
12,P00000640381,CY0000000865,Oswego,Oswego,13126,5|A|Cold,725146,725190,12/01/2007,Market,6468.0,54978.0,1.0,1999.0,5250.0,262.5,525.0,0.0,,,629.84,18170.23,0.0,17899.82,0.0,270.41,0.0,False,False,False,True,False,False,False,False,"Oswego, NY 13126
(43.440456, -76.474421)"
13,P00000640416,CY0000000065,Onondaga,Marcellus,13108,5|A|Cold,725190,725190,07/20/2007,Market,2184.0,17472.0,1.0,1977.0,14011.0,500.0,1401.1,0.0,,,558.28,26301.27,0.0,23704.11,0.0,2597.16,0.0,False,False,False,True,False,False,False,False,"Marcellus, NY 13108
(42.974441, -76.331005)"
14,P00000640660,CY0000000391,Oswego,Oswego,13126,5|A|Cold,725146,725190,06/20/2007,Market,2240.0,17920.0,1.0,1972.0,12568.0,500.0,0.0,12568.0,,,1568.8,1089.25,0.0,5655.86,0.0,-4566.61,0.0,False,False,False,True,False,False,False,False,"Oswego, NY 13126
(43.440456, -76.474421)"
15,P00000640765,CY0000000277,Onondaga,Baldwinsville,13027,5|A|Cold,725146,725190,10/23/2007,Market,2733.0,21864.0,,1955.0,23795.0,500.0,2379.5,0.0,,,890.3,0.0,110.51,0.0,133.48,0.0,-22.96,False,False,False,True,False,False,False,False,"Baldwinsville, NY 13027
(43.163267, -76.340674)"
16,P00000640934,CY0000000036,Albany,Delmar,12054,5|A|Cold,725180,725180,10/31/2007,Market,3153.0,24384.0,1.0,1965.0,3420.0,171.0,342.0,0.0,,,356.66,15686.97,118.45,14420.33,98.94,1266.64,19.51,False,False,False,True,False,False,False,False,"Delmar, NY 12054
(42.612026, -73.848428)"
17,P00000641001,CY0000000014,Onondaga,Tully,13159,5|A|Cold,725190,725190,06/15/2007,Market,2360.0,17700.0,,1985.0,5680.0,284.0,568.0,0.0,,,104.2,11321.38,0.0,9416.11,0.0,1905.27,0.0,False,False,False,True,False,False,False,False,"Tully, NY 13159
(42.806462, -76.12834)"
18,P00000641039,CY0000000065,Onondaga,Camillus,13031,5|A|Cold,725190,725190,06/27/2007,Market,988.0,7904.0,1.0,1952.0,16497.0,500.0,1649.7,0.0,,,426.21,7058.99,0.0,6552.24,0.0,506.75,0.0,False,False,False,True,False,False,False,False,"Camillus, NY 13031
(43.042358, -76.293014)"
19,P00000641196,CY0000000065,Onondaga,Syracuse,13215,5|A|Cold,725190,725190,06/27/2007,Market,2824.0,22592.0,1.0,1955.0,3078.0,153.9,307.8,0.0,,,53.51,13762.77,0.0,9983.85,0.0,3778.92,0.0,False,False,False,True,False,False,False,False,"Syracuse, NY 13215
(42.987251, -76.220062)"
20,P00000641280,CY0000000190,Erie,Buffalo,14223,5|A|Cold,725280,725280,01/11/2008,Assisted,1680.0,13440.0,1.0,1955.0,4702.0,310.1,2351.0,0.0,,,866.28,12505.67,0.0,8960.88,0.0,3544.8,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14223
(42.973445, -78.845988)"
21,P00000641345,CY0000000261,Albany,Slingerlands,12159,5|A|Cold,725180,725180,12/01/2007,Market,1764.0,20195.0,,1989.0,7000.0,0.0,700.0,0.0,,,1195.19,6292.03,75.79,6033.77,69.4,258.26,6.39,False,False,False,True,False,False,False,False,"Slingerlands, NY 12159
(42.646421, -73.874892)"
22,P00000641400,CY0000000293,Orleans,Kent,14477,5|A|Cold,725290,725290,10/17/2007,Assisted,2304.0,18432.0,1.0,1981.0,16142.0,0.0,5000.0,0.0,,,2097.96,7954.8,0.0,4119.99,0.0,3834.82,0.0,False,False,False,True,False,False,False,False,"Kent, NY 14477
(43.346379, -78.13651)"
23,P00000641546,CY0000000103,Erie,Buffalo,14221,5|A|Cold,725280,725280,06/09/2007,Market,1950.0,15600.0,1.0,1976.0,2800.0,140.0,0.0,2800.0,,,439.76,8106.94,0.0,6880.43,0.0,1226.51,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14221
(42.980424, -78.728009)"
24,P00000641558,CY0000000294,Erie,Buffalo,14213,5|A|Cold,725280,725280,07/12/2007,Assisted,3072.0,27648.0,,1890.0,20760.0,500.0,8000.0,0.0,,,4986.03,4883.6,0.0,2960.75,0.0,1922.85,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14213
(42.917061, -78.89191)"
25,P00000641632,CY0000000079,Onondaga,Syracuse,13210,5|A|Cold,725190,725190,07/14/2007,Market,1296.0,10368.0,,1930.0,5200.0,0.0,520.0,0.0,,,2102.23,4804.57,0.0,4150.62,0.0,653.95,0.0,False,False,False,True,False,False,False,False,"Syracuse, NY 13210
(43.034152, -76.126551)"
26,P00000641666,CY0000000505,Onondaga,Manlius,13104,5|A|Cold,725190,725190,09/20/2007,Market,2304.0,18432.0,,1984.0,4440.0,222.0,444.0,0.0,,,1274.7,0.0,139.22,0.0,113.45,0.0,25.77,False,False,False,True,False,False,False,False,"Manlius, NY 13104
(42.979204, -75.962381)"
27,P00000641683,CY0000000308,Oneida,Utica,13501,6|A|Cold,725196,725150,04/01/2008,Assisted,2401.0,19208.0,1.0,1950.0,10000.0,700.0,5000.0,5000.0,,,712.65,17124.22,192.38,12909.33,158.59,4214.89,33.78,False,False,False,True,False,False,False,False,"Utica, NY 13501
(43.085324, -75.228495)"
28,P00000641760,CY0000000505,Onondaga,Baldwinsville,13027,5|A|Cold,725146,725190,07/18/2007,Market,2706.0,21648.0,,1800.0,9600.0,480.0,960.0,0.0,,,2554.01,4360.28,0.0,4982.97,0.0,-622.68,0.0,False,False,False,True,False,False,False,False,"Baldwinsville, NY 13027
(43.163267, -76.340674)"
29,P00000641825,CY0000000065,Onondaga,Manlius,13104,5|A|Cold,725190,725190,07/19/2007,Market,2016.0,16128.0,1.0,1984.0,6444.0,322.2,644.4,0.0,,,102.96,24444.31,0.0,17606.79,0.0,6837.53,0.0,False,False,False,True,False,False,False,False,"Manlius, NY 13104
(42.979204, -75.962381)"
30,P00000641873,CY0000000505,Onondaga,Syracuse,13203,5|A|Cold,725190,725190,12/20/2007,Assisted,1350.0,10800.0,,1901.0,5800.0,290.0,2900.0,0.0,,,841.61,5121.57,0.0,8853.97,0.0,-3732.4,0.0,False,False,False,True,False,False,False,False,"Syracuse, NY 13203
(43.060552, -76.135856)"
31,P00000641874,CY0000000323,Erie,Buffalo,14226,5|A|Cold,725280,725280,07/19/2007,Market,1606.0,12848.0,1.0,1954.0,7040.0,352.0,704.0,0.0,,,326.28,5598.4,0.0,5306.6,0.0,291.79,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14226
(42.970111, -78.798863)"
32,P00000642009,CY0000000391,Oswego,Phoenix,13135,5|A|Cold,725146,725190,10/12/2007,Market,2168.0,18640.0,1.0,1988.0,17079.0,500.0,1707.9,0.0,,,1316.28,14399.77,146.6,17223.1,126.65,-2823.33,19.96,False,False,False,True,False,False,False,False,"Phoenix, NY 13135
(43.250396, -76.316143)"
33,P00000642029,CY0000000505,Onondaga,Nedrow,13120,5|A|Cold,725190,725190,08/03/2007,Market,2950.0,23600.0,,1989.0,9206.0,460.3,0.0,9206.0,,,1287.75,18772.49,0.0,16205.57,0.0,2566.91,0.0,False,False,False,True,False,False,False,False,"Nedrow, NY 13120
(42.950373, -76.163321)"
34,P00000642046,CY0000000079,Onondaga,Fayetteville,13066,5|A|Cold,725190,725190,08/17/2007,Market,2540.0,20320.0,,1926.0,7130.0,356.5,713.0,0.0,,,2226.39,7716.57,156.51,5851.71,162.15,1864.86,-5.64,False,False,False,True,False,False,False,False,"Fayetteville, NY 13066
(43.029416, -76.009703)"
35,P00000642050,CY0000000036,Albany,Albany,12208,5|A|Cold,725180,725180,07/13/2007,Market,3840.0,30720.0,1.0,1926.0,20653.0,1050.0,0.0,20000.0,,,2576.86,12163.98,8.78,10311.05,73.53,1852.93,-64.75,False,False,False,True,False,False,False,False,"Albany, NY 12208
(42.655144, -73.803265)"
36,P00000642114,CY0000001061,Onondaga,Camillus,13031,5|A|Cold,725190,725190,07/17/2007,Assisted,950.0,7125.0,,1955.0,10000.0,700.0,5000.0,0.0,,,864.55,3238.95,0.0,3201.22,0.0,37.74,0.0,False,False,False,True,False,False,False,False,"Camillus, NY 13031
(43.042358, -76.293014)"
37,P00000642165,CY0000000014,Onondaga,Baldwinsville,13027,5|A|Cold,725146,725190,06/15/2007,Market,1404.0,11232.0,,1980.0,7600.0,380.0,760.0,0.0,,,1048.4,0.0,59.07,0.0,47.68,0.0,11.4,False,False,False,True,False,False,False,False,"Baldwinsville, NY 13027
(43.163267, -76.340674)"
38,P00000642175,CY0000000014,Onondaga,Syracuse,13203,5|A|Cold,725190,725190,08/29/2007,Market,1628.0,12210.0,,1950.0,6060.0,303.0,606.0,0.0,,,1486.49,5138.61,98.08,4961.37,72.46,177.24,25.62,False,False,False,True,False,False,False,False,"Syracuse, NY 13203
(43.060552, -76.135856)"
39,P00000642179,CY0000000391,Onondaga,Liverpool,13090,5|A|Cold,725190,725190,06/29/2007,Market,2012.0,16096.0,1.0,1964.0,3845.0,192.25,384.5,0.0,,,992.44,6707.62,87.95,5989.47,63.54,718.15,24.41,False,False,False,True,False,False,False,False,"Liverpool, NY 13090
(43.149294, -76.221843)"
40,P00000642191,CY0000000484,Erie,Buffalo,14215,5|A|Cold,725280,725280,07/20/2007,Market,1344.0,10752.0,1.0,1952.0,9195.0,459.75,919.5,0.0,,,1103.07,6271.54,0.0,7675.49,0.0,-1403.94,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14215
(42.934202, -78.808435)"
41,P00000642199,CY0000000293,Genesee,Batavia,14020,5|A|Cold,725280,725280,02/29/2008,Market,2174.0,18479.0,1.0,1880.0,20741.0,0.0,2074.1,0.0,,,2975.02,8281.41,0.0,10409.08,0.0,-2127.67,0.0,False,False,False,True,False,False,False,False,"Batavia, NY 14020
(43.000966, -78.209704)"
42,P00000642204,CY0000000065,Onondaga,Syracuse,13214,5|A|Cold,725190,725190,10/20/2007,Market,1283.0,10264.0,1.0,1930.0,3342.0,167.1,334.2,0.0,,,683.15,0.0,112.97,0.0,107.58,0.0,5.4,False,False,False,True,False,False,False,False,"Syracuse, NY 13214
(43.040484, -76.074122)"
43,P00000642205,CY0000000065,Onondaga,Syracuse,13219,5|A|Cold,725190,725190,09/14/2007,Market,1308.0,10464.0,1.0,1952.0,3793.0,189.65,379.3,0.0,,,61.74,4602.55,70.02,3704.45,72.39,898.11,-2.37,False,False,False,True,False,False,False,False,"Syracuse, NY 13219
(43.04093, -76.224174)"
44,P00000642210,CY0000000391,Onondaga,Brewerton,13029,5|A|Cold,725190,725190,07/14/2007,Market,1536.0,12288.0,1.0,1993.0,2620.0,131.0,262.0,0.0,,,143.74,9938.9,57.09,9951.08,51.59,-12.18,5.5,False,False,False,True,False,False,False,False,"Brewerton, NY 13029
(43.223906, -76.139362)"
45,P00000642222,CY0000000675,Rensselaer,Castleton On Hudson,12033,5|A|Cold,725180,725180,06/30/2007,Market,2964.0,23712.0,1.0,1900.0,6305.0,315.25,630.5,0.0,,,746.47,17302.44,157.12,18579.21,151.34,-1276.77,5.78,False,False,False,True,False,False,False,False,"Castleton On Hudson, NY 12033
(42.537337, -73.703505)"
46,P00000642226,CY0000001501,Erie,Buffalo,14226,5|A|Cold,725280,725280,07/25/2007,Market,2000.0,16000.0,1.0,1952.0,10000.0,500.0,1000.0,0.0,,,637.12,16734.89,0.0,14287.11,0.0,2447.79,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14226
(42.970111, -78.798863)"
47,P00000642228,CY0000001501,Niagara,Niagara Falls,14304,5|A|Cold,725287,725287,07/26/2007,Assisted,1650.0,13200.0,1.0,1940.0,10643.57,500.0,5000.0,5643.57,,,742.44,8340.39,0.0,9386.27,0.0,-1045.89,0.0,False,False,False,True,False,False,False,False,"Niagara Falls, NY 14304
(43.09392, -78.961364)"
48,P00000642231,CY0000001501,Erie,Buffalo,14221,5|A|Cold,725280,725280,06/09/2007,Market,1050.0,8400.0,1.0,1965.0,5000.0,250.0,0.0,5000.0,,,964.8,4840.17,0.0,4382.88,0.0,457.29,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14221
(42.980424, -78.728009)"
49,P00000642249,CY0000000065,Onondaga,Syracuse,13214,5|A|Cold,725190,725190,07/11/2007,Market,1856.0,14848.0,1.0,1938.0,5125.0,256.25,0.0,5125.0,,,640.18,7418.84,149.16,6021.12,131.84,1397.71,17.32,False,False,False,True,False,False,False,False,"Syracuse, NY 13214
(43.040484, -76.074122)"
50,P00000642260,CY0000001061,Onondaga,Fayetteville,13066,5|A|Cold,725190,725190,07/13/2007,Market,2500.0,18750.0,,1965.0,12000.0,740.0,1200.0,0.0,,,533.39,6905.17,110.24,8035.85,111.01,-1130.68,-0.77,False,False,False,True,False,False,False,False,"Fayetteville, NY 13066
(43.029416, -76.009703)"
51,P00000642319,CY0000001061,Onondaga,Camillus,13031,5|A|Cold,725190,725190,07/13/2007,Market,2400.0,18000.0,,1955.0,11248.0,724.96,1124.8,0.0,,,712.72,11957.31,0.0,13805.61,0.0,-1848.3,0.0,False,False,False,True,False,False,False,False,"Camillus, NY 13031
(43.042358, -76.293014)"
52,P00000642327,CY0000000065,Onondaga,Syracuse,13208,5|A|Cold,725190,725190,06/29/2007,Market,3048.0,26822.0,1.0,1910.0,14164.0,500.0,1416.4,0.0,,,1709.72,8325.39,0.0,8412.26,0.0,-86.87,0.0,False,False,False,True,False,False,False,False,"Syracuse, NY 13208
(43.075602, -76.14789)"
53,P00000642333,CY0000000065,Onondaga,Syracuse,13219,5|A|Cold,725190,725190,12/15/2007,Market,1576.0,12608.0,1.0,1953.0,8264.0,413.2,826.4,0.0,,,272.39,7797.7,71.17,9440.2,54.73,-1642.5,16.44,False,False,False,True,False,False,False,False,"Syracuse, NY 13219
(43.04093, -76.224174)"
54,P00000642335,CY0000001501,Erie,Buffalo,14220,5|A|Cold,725280,725280,06/27/2007,Market,1350.0,10800.0,1.0,1920.0,2980.0,149.0,298.0,0.0,,,301.93,8183.14,0.0,8103.28,0.0,79.86,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14220
(42.843899, -78.819319)"
55,P00000642343,CY0000000065,Oswego,West Monroe,13167,5|A|Cold,725190,725190,06/29/2007,Market,1728.0,13824.0,1.0,1998.0,3410.0,170.5,341.0,0.0,,,88.0,9400.15,0.0,11574.24,0.0,-2174.09,0.0,False,False,False,True,False,False,False,False,"West Monroe, NY 13167
(43.309651, -76.060296)"
56,P00000642349,CY0000000065,Onondaga,Syracuse,13212,5|A|Cold,725190,725190,06/30/2007,Market,1960.0,15680.0,1.0,1968.0,1035.0,51.75,103.5,0.0,,,43.77,8508.96,110.26,7556.75,100.87,952.21,9.39,False,False,False,True,False,False,False,False,"Syracuse, NY 13212
(43.126591, -76.132726)"
57,P00000642372,CY0000000484,Erie,Buffalo,14218,5|A|Cold,725280,725280,06/23/2007,Market,1200.0,9600.0,1.0,1959.0,4748.0,237.4,474.8,0.0,,,731.97,7188.74,0.0,7506.96,0.0,-318.22,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14218
(42.818699, -78.818268)"
58,P00000642418,CY0000001502,Monroe,Brockport,14420,5|A|Cold,725290,725290,06/09/2007,Market,3824.0,30592.0,1.0,1815.0,2655.0,132.75,0.0,2655.0,,,920.74,12720.13,0.0,12020.34,0.0,699.79,0.0,False,False,False,True,False,False,False,False,"Brockport, NY 14420
(43.21043, -77.933006)"
59,P00000642435,CY0000000065,Onondaga,Syracuse,13212,5|A|Cold,725190,725190,08/24/2007,Market,1904.0,15232.0,1.0,1977.0,1138.0,56.9,113.8,0.0,,,8.22,8538.95,61.77,8243.82,66.68,295.13,-4.91,False,False,False,True,False,False,False,False,"Syracuse, NY 13212
(43.126591, -76.132726)"
60,P00000642446,CY0000001001,Oneida,Oriskany,13424,6|A|Cold,725196,743700,02/20/2008,Market,1764.0,14112.0,1.0,1906.0,5420.0,271.0,542.0,0.0,,,932.47,4501.08,0.0,6280.04,0.0,-1778.96,0.0,False,False,False,True,False,False,False,False,"Oriskany, NY 13424
(43.150818, -75.360631)"
61,P00000642462,CY0000000014,Onondaga,Cicero,13039,5|A|Cold,725190,725190,07/14/2007,Market,1248.0,9984.0,1.0,1953.0,3900.0,195.0,390.0,0.0,,,15.73,9747.77,0.0,9829.86,0.0,-82.1,0.0,False,False,False,True,False,False,False,False,"Cicero, NY 13039
(43.172813, -76.088447)"
62,P00000642469,CY0000001033,Albany,Albany,12211,5|A|Cold,725180,725180,12/01/2007,Market,4369.0,37237.0,1.0,1979.0,14953.09,1004.06,1495.3,0.0,,,1255.19,8139.84,0.0,7403.11,0.0,736.73,0.0,False,False,False,True,False,False,False,False,"Albany, NY 12211
(42.708691, -73.767259)"
63,P00000642473,CY0000000065,Onondaga,Liverpool,13090,5|A|Cold,725190,725190,09/26/2007,Market,1344.0,10752.0,1.0,1952.0,4500.0,225.0,450.0,0.0,,,801.76,5249.33,113.88,4906.51,89.89,342.82,23.99,False,False,False,True,False,False,False,False,"Liverpool, NY 13090
(43.149294, -76.221843)"
64,P00000642475,CY0000000065,Onondaga,Elbridge,13060,5|A|Cold,725190,725190,09/28/2007,Market,2416.0,19328.0,1.0,1995.0,6459.0,322.95,645.9,0.0,,,382.24,6869.39,0.0,9853.39,0.0,-2983.99,0.0,False,False,False,True,False,False,False,False,"Elbridge, NY 13060
(43.022367, -76.422421)"
65,P00000642480,CY0000000065,Onondaga,Liverpool,13088,5|A|Cold,725190,725190,06/28/2007,Market,2004.0,16032.0,1.0,1983.0,9870.0,493.5,987.0,0.0,,,44.77,9459.23,126.44,12519.04,94.79,-3059.81,31.65,False,False,False,True,False,False,False,False,"Liverpool, NY 13088
(43.108585, -76.18864)"
66,P00000642481,CY0000000065,Onondaga,Liverpool,13090,5|A|Cold,725190,725190,09/15/2007,Market,1268.0,10144.0,1.0,1953.0,5011.0,250.55,501.1,0.0,,,415.26,8331.64,110.38,7201.77,97.64,1129.87,12.74,False,False,False,True,False,False,False,False,"Liverpool, NY 13090
(43.149294, -76.221843)"
67,P00000642491,CY0000000323,Erie,East Amherst,14051,5|A|Cold,725280,725280,08/31/2007,Market,2130.0,17040.0,1.0,1986.0,7393.0,559.65,739.3,0.0,,,330.4,10748.73,0.0,6458.61,0.0,4290.12,0.0,False,False,False,True,False,False,False,False,"East Amherst, NY 14051
(43.031514, -78.70261)"
68,P00000642493,CY0000000065,Onondaga,Clay,13041,5|A|Cold,725190,725190,06/15/2007,Market,2008.0,16064.0,1.0,1991.0,14568.0,500.0,1456.8,0.0,,,104.26,11546.32,82.42,11424.8,80.97,121.52,1.45,False,False,False,True,False,False,False,False,"Clay, NY 13041
(43.181791, -76.189017)"
69,P00000642507,CY0000000004,Erie,Tonawanda,14150,5|A|Cold,725287,725287,08/22/2007,Assisted,1880.0,15040.0,1.0,1950.0,8032.0,401.6,4016.0,0.0,,,1432.5,8829.84,0.0,8208.04,0.0,621.8,0.0,False,False,False,True,False,False,False,False,"Tonawanda, NY 14150
(42.999597, -78.867291)"
70,P00000642516,CY0000000595,Erie,Amherst,14226,5|A|Cold,725280,725280,10/31/2007,Market,1972.0,15776.0,,1950.0,5970.0,298.5,597.0,0.0,,,936.02,4705.8,0.0,4793.02,0.0,-87.22,0.0,False,False,False,True,False,False,False,False,"Amherst, NY 14226
(42.970111, -78.798863)"
71,P00000642529,CY0000000004,Niagara,Lockport,14094,5|A|Cold,725287,725287,07/14/2007,Market,2400.0,19200.0,1.0,1975.0,5851.0,292.55,585.1,0.0,,,352.59,8599.28,0.0,8364.98,0.0,234.3,0.0,False,False,False,True,False,False,False,False,"Lockport, NY 14094
(43.157671, -78.693851)"
72,P00000642530,CY0000000014,Onondaga,Liverpool,13090,5|A|Cold,725190,725190,06/29/2007,Market,1544.0,11676.0,1.0,1986.0,2750.0,137.5,275.0,0.0,,,274.91,6318.54,82.96,5187.92,61.77,1130.62,21.19,False,False,False,True,False,False,False,False,"Liverpool, NY 13090
(43.149294, -76.221843)"
73,P00000642557,CY0000000484,Erie,Buffalo,14218,5|A|Cold,725280,725280,07/21/2007,Assisted,1520.0,12160.0,1.0,1940.0,10976.0,500.0,5000.0,5976.0,,,974.34,4459.35,0.0,5191.48,0.0,-732.13,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14218
(42.818699, -78.818268)"
74,P00000642574,CY0000000391,Onondaga,Fayetteville,13066,5|A|Cold,725190,725190,10/25/2007,Market,2576.0,20608.0,1.0,1959.0,6700.0,335.0,670.0,0.0,,,1180.88,21896.17,233.99,20850.45,164.09,1045.72,69.9,False,False,False,True,False,False,False,False,"Fayetteville, NY 13066
(43.029416, -76.009703)"
75,P00000642579,CY0000000391,Onondaga,Baldwinsville,13027,5|A|Cold,725146,725190,07/20/2007,Market,1200.0,9600.0,1.0,1962.0,13307.0,500.0,1330.7,0.0,,,1068.08,8576.92,79.65,8832.32,52.15,-255.4,27.5,False,False,False,True,False,False,False,False,"Baldwinsville, NY 13027
(43.163267, -76.340674)"
76,P00000642584,CY0000000404,Erie,Buffalo,14218,5|A|Cold,725280,725280,10/12/2007,Assisted,2696.0,21568.0,1.0,1955.0,6326.78,316.34,3163.39,0.0,,,1224.5,4847.91,0.0,5597.82,0.0,-749.91,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14218
(42.818699, -78.818268)"
77,P00000642593,CY0000000404,Erie,Buffalo,14226,5|A|Cold,725280,725280,07/14/2007,Market,2255.0,18040.0,1.0,1941.0,3780.3,189.02,378.03,0.0,,,870.27,6560.1,0.0,7012.53,0.0,-452.43,0.0,False,False,False,True,False,False,False,False,"Buffalo, NY 14226
(42.970111, -78.798863)"
78,P00000642597,CY0000000014,Onondaga,Syracuse,13205,5|A|Cold,725190,725190,06/22/2007,Market,1568.0,12544.0,1.0,1924.0,15000.0,500.0,0.0,15000.0,,,364.85,3149.71,123.23,3305.71,108.78,-156.0,14.44,False,False,False,True,False,False,False,False,"Syracuse, NY 13205
(43.00819, -76.144124)"
79,P00000642601,CY0000000065,Onondaga,Camillus,13031,5|A|Cold,725190,725190,06/15/2007,Market,1809.0,14472.0,1.0,1965.0,13753.0,500.0,1375.3,0.0,,,317.12,11326.85,115.59,12578.61,94.24,-1251.76,21.35,False,False,False,True,False,False,False,False,"Camillus, NY 13031
(43.042358, -76.293014)"
